Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
73,True,2020-March-11 17:22,ta/d_dataset_p2/prep_data_20,baseline,0.1489847002160077,0.3793863212172408,0.4268606533183338,0.13845990643730444,0.3653476117373347,0.4610511717743563,0.13866356866971313,0.3655056174319358,0.4623426659374958,,,693.2251331806183,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
74,True,2020-March-11 17:48,ta/d_dataset_p2/prep_data_20,FCNN,0.22476594985962509,0.4707545257952011,0.14247057549067635,0.2226661738224048,0.4685648058122585,0.14719917035925772,0.22329254934053225,0.4693119180117038,0.1452484816225828,,,1511.1307830810547,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
75,True,2020-March-11 22:17,ta/d_dataset_p2/prep_data_20,bilstm,0.011089815107520669,0.1040168594888806,0.9569902909380128,0.0161893283361409,0.1250813289416786,0.9362933172341448,0.01661886958693487,0.1265453801262729,0.9351073492678328,,,4952.737157583238,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
76,True,2020-March-12 00:01,ta/d_dataset_p2/prep_data_20,LTRCNN,0.05811133942533996,0.18380424925255875,0.8656102777327249,0.04914993210621581,0.15810022470124865,0.8989920315187654,0.04951249713695861,0.1591130488211342,0.8980737777827762,,,6165.205220222473,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
2,True,2020-March-12 00:49,ta/d_dataset_p2/prep_data_20,senet,0.01900706477236731,0.13618803397834026,0.9263839341284608,0.01985404789352933,0.13887267003283826,0.922063065649768,0.020135195155163845,0.13981261066544792,0.9212405182303604,,,2855.071928501129,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
4,True,2020-March-12 01:44,ta/d_dataset_p2/prep_data_20,senet,0.014304804596800206,0.11807565107271413,0.9446526712824594,0.017650670460280075,0.1307598806014061,0.9304821976688558,0.01805017353643152,0.13221363047376322,0.9291749243307894,,,3217.396461248398,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
6,True,2020-March-12 02:36,ta/d_dataset_p2/prep_data_20,senet,0.013047623948147912,0.11282055029895215,0.9495742327961336,0.01618479850644484,0.12530077341218962,0.9361880558178352,0.016515870206887974,0.12650712696434474,0.9350310854456744,,,3073.253667831421,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
8,True,2020-March-12 03:41,ta/d_dataset_p2/prep_data_20,senet,0.010715969253039859,0.10203762959196433,0.9584384340497586,0.015068202291957366,0.12046958718974655,0.9404282433473672,0.014823199802906478,0.11949134361504606,0.9415934930612048,,,3834.822666406632,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
10,True,2020-March-12 04:40,ta/d_dataset_p2/prep_data_20,senet,0.01922465925342176,0.13687759466781785,0.9256219623849582,0.019420360374477242,0.13738075714339906,0.9237708532899812,0.01979959623343925,0.1387106780007998,0.922649517733206,,,3516.3823108673096,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
12,True,2020-March-12 05:45,ta/d_dataset_p2/prep_data_20,senet,0.015332481729190203,0.12224836631697444,0.9406107355392092,0.018121063782768898,0.1325102238769802,0.9284925424438484,0.018062049339221283,0.1322447782664288,0.9290879503081524,,,3846.761104822159,,,0.001,64,150,mse,Adam,5,,"(102624, 24, 60)","(102624, 17)",,
