Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
1,True,2020-February-27 09:46,ta/d_dataset_t3/aug_data,baseline,0.15445299534202092,0.3854963719209581,0.2902437095763266,0.15130460395092402,0.3805492996118939,0.30817436729850683,0.15036430298310136,0.3798846767939825,0.3072915538532382,,,16.489839792251587,15.0,10.0,0.001,128,30,mse,AMSGRAD,5,,"(43078, 24, 39)","(43078, 17)",,
2,True,2020-February-27 09:50,ta/d_dataset_t3/aug_data,senet,0.07439884078375912,0.2679915119670891,0.641074069631863,0.09879032814303808,0.3059430829485212,0.5413883158874546,0.09872978619714104,0.3062664040607118,0.5383658159681566,,,193.56938242912292,1.0,10.0,0.001,128,30,mse,AMSGRAD,5,,"(43078, 24, 39)","(43078, 17)",,
3,True,2020-February-27 10:00,ta/d_dataset_t3/aug_data,senet,0.05967713700046784,0.2410866470493268,0.7068363698528664,0.10127477961527744,0.3089902984547327,0.5328405807338219,0.10167321915942068,0.3101481193975425,0.5262805136116624,,,323.1250877380371,,,0.001,128,50,mse,AMSGRAD,5,,"(43078, 24, 39)","(43078, 17)",,
4,True,2020-February-27 10:13,ta/d_dataset_t3/aug_data,senet,0.09002962917299777,0.2942127538372417,0.5712743036044499,0.0988210657746402,0.30618206676311505,0.5402072852696684,0.09905237636140768,0.30713812232531346,0.5353220969290212,,,603.9449830055238,,,0.05,128,100,mse,NAG,5,,"(43078, 24, 39)","(43078, 17)",,
5,True,2020-February-27 10:15,ta/d_dataset_t3/aug_data,baseline,0.16734007124759356,0.4005070473842659,0.23876469472894274,0.16453921384643233,0.39589245032056936,0.2549663035088293,0.16184669326754922,0.3934005072583391,0.26097872262215505,,,98.05539655685423,,,0.05,128,100,mse,NAG,5,,"(43078, 24, 39)","(43078, 17)",,
6,True,2020-February-27 10:43,ta/d_dataset_t3/aug_data,senet,0.07043021384778309,0.26091206003223355,0.6580030594513868,0.09920773953820974,0.3058673466183857,0.5405269844993817,0.0997655604332742,0.3070673967753215,0.5353213691617482,,,717.3551781177521,,,0.1,128,120,mse,NAG,5,,"(43078, 24, 39)","(43078, 17)",,
6,True,2020-February-27 10:56,ta/d_dataset_t3/aug_data,senet,0.08140082028954965,0.2799578612628184,0.6102577933307112,0.09922314734453498,0.306545253192414,0.5389661655100271,0.0987770366604282,0.3064223038347376,0.537425931259447,,,496.0951793193817,,,0.1,128,80,mse,NAG,5,,"(43078, 24, 39)","(43078, 17)",,
7,True,2020-February-27 11:04,ta/d_dataset_t3/aug_data,senet_skip,0.08522526676389489,0.28588116802610264,0.5935051803053422,0.0951966315191444,0.3002531134955793,0.5561101769567175,0.09540002769057752,0.3010910099896443,0.5513489569190709,,,487.1859266757965,,,0.1,128,80,mse,NAG,5,,"(43078, 24, 39)","(43078, 17)",,
8,True,2020-February-27 11:19,ta/d_dataset_t3/aug_data,senet,0.08171926178198967,0.2807514103958799,0.608575338775789,0.09947999423545646,0.307215863038961,0.5375077349454221,0.09951456573466527,0.3074318960478322,0.5350499499707322,,,500.2093758583069,,,0.1,128,80,mse,NAG,5,,"(43078, 24, 39)","(43078, 17)",,
10,True,2020-February-27 11:33,ta/d_dataset_t3/aug_data,senet,0.09624066136587496,0.3038545637757735,0.5451074848294925,0.10210687941760334,0.3116431480382112,0.5247988124613333,0.10212098019092336,0.3121134753955222,0.5216826411896601,,,193.1613681316376,,,0.001,128,30,mse,NAG,5,,"(43078, 24, 39)","(43078, 17)",,
