Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,Loss function,Optimizer,EarlyStopPatience,Batch size,Epochs,EarlyStop At,Learning rate,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
1,True,2020-February-03 15:27,ta/d_dataset_8/prep_exp11,inti_bilstm,0.012459323529279507,0.09850144400000001,0.9471325856882348,0.02634230294606797,0.11677231,0.8848257289185871,,,1297.9175369739532,mse,AMSGRAD,15,128,1000,46,0.001,5,,"(79468, 17, 39)","(79468, 17)",,
2,True,2020-February-03 15:41,ta/d_dataset_8/prep_exp11,cnn_bilstm,0.025209224544135142,0.12535785138607025,0.8927514464976604,0.02581403074934396,0.12322571873664855,0.8888233225500257,,,698.291793346405,mse,AMSGRAD,5,128,1000,38,0.0001,5,,"(79468, 17, 39)","(79468, 17)",,
3,True,2020-February-04 09:56,ta/d_dataset_9/prep_exp11,bilstm,0.014707759046128744,0.1010989472270012,0.9366735552752216,0.02259555253724636,0.1099558100104332,0.9015425168197962,,,2385.316988945008,mse,AMSGRAD,15,64,1000,33,0.001,5,,"(145330, 17, 39)","(145330, 17)",,
4,True,2020-February-04 10:34,ta/d_dataset_9/prep_exp11,cnn_bilstm,0.022147187521055864,0.1170145347714424,0.9052492113317328,0.022213287534713324,0.1139954999089241,0.9037952859998024,,,2148.227279663086,mse,AMSGRAD,5,64,1000,35,0.0001,5,,"(145330, 17, 39)","(145330, 17)",,
5,True,2020-February-06 11:09,ta/d_dataset_9_backup/prep_exp11,bilstm,0.015711439533227182,0.10444603115320206,0.9325046924102468,0.02306442754047807,0.11247017979621887,0.8994535865040579,,,2819.735983133316,mse,AMSGRAD,15,64,1000,33,0.001,5,,"(172576, 17, 39)","(172576, 17)",,
6,True,2020-February-06 12:04,ta/d_dataset_9_backup/prep_exp11,cnn_bilstm,0.02181254763057051,0.11639991402626038,0.9067680069554088,0.02179728660777137,0.1128152310848236,0.905715845229756,,,3201.045001745224,mse,AMSGRAD,5,64,1000,45,0.0001,5,,"(172576, 17, 39)","(172576, 17)",,
7,True,2020-February-07 02:34,ta/d_dataset_10/prep_exp11,bilstm,0.009553565158717105,0.08890040218830109,0.95959911218476,0.014444505429225457,0.09534823149442673,0.9383384620394236,,,3210.833002328873,mse,AMSGRAD,15,64,1000,51,0.001,5,,"(124084, 17, 39)","(124084, 17)",,
8,True,2020-February-07 03:02,ta/d_dataset_10/prep_exp11,cnn_bilstm,0.01730577359009331,0.10896750539541243,0.9269003754804064,0.015586341209386843,0.10370585322380066,0.9340302254387806,0.07192646712064743,0.985646219487799,1554.7709410190582,mse,AMSGRAD,5,64,1000,29,0.0001,5,3.0,"(124084, 17, 39)","(124084, 17)",,
9,True,2020-February-07 03:24,ta/d_dataset_10/prep_exp11,cnn_bilstm_2,0.017428879531014588,0.10788261890411376,0.9260967834455897,0.014883686198305537,0.10081982612609863,0.9369937590920392,,,1232.2385210990906,mse,AMSGRAD,5,64,1000,34,0.001,5,,"(124084, 17, 39)","(124084, 17)",,
10,True,2020-February-07 04:23,ta/d_dataset_10/prep_exp11,dilation_cnn_bilstm,0.015671621660006404,0.10586462169885637,0.9338654545150706,0.015645151235791906,0.10282760113477707,0.9339555209125296,,,3504.100638866425,mse,AMSGRAD,20,64,1000,125,0.001,5,,"(124084, 17, 39)","(124084, 17)",,
11,True,2020-February-07 08:41,ta/d_dataset_10/prep_exp11,bilstm_2,0.008675204628121335,0.08486112952232361,0.9632873257501466,0.01434916779529576,0.09347479045391084,0.9387069179911224,,,1503.158476114273,mse,AMSGRAD,15,64,1000,36,0.001,5,,"(124084, 17, 39)","(124084, 17)",,
12,True,2020-February-07 12:12,ta/d_dataset_10/prep_exp11,cnn_bilstm,0.016422611889965442,0.10726409405469894,0.9303974783322396,0.01915269551638453,0.11190619319677353,0.9192642252023564,,,1706.9848761558533,mse,AMSGRAD,5,64,1000,32,0.0001,5,,"(124084, 17, 39)","(124084, 17)",,
